TIME(MS),COMMAND,VALUE
006600,1,1
009500,1,0
009500,2,1
012450,2,0
012450,3,1
015350,3,0
015350,4,1
018300,4,0
018300,5,1
021200,4,1
021200,5,0
024150,3,1
024150,4,0
027300,2,1
027300,3,0
029500,2,0
032700,6,1
033750,1,1
034650,1,0
034650,4,1
035650,2,1
035650,4,0
036600,2,0
036600,3,1
037600,3,0
037600,5,1
038550,1,1
038550,5,0
039550,1,0
040450,6,0
040450,7,1
041350,2,1
041350,4,1
042350,1,1
042350,2,0
042350,3,1
042350,4,0
043350,1,0
043350,2,1
043350,3,0
043350,5,1
043550,7,0
043550,8,1
043850,2,0
043850,5,0
044300,3,1
044300,5,1
045250,2,1
045250,3,0
045250,4,1
045250,5,0
046250,1,1
046250,2,0
046250,3,1
046250,4,0
046800,1,0
046800,3,0
046800,8,0
047800,1,1
047800,2,1
047800,3,1
047800,4,1
047800,5,1
048100,1,0
048100,2,0
048100,3,0
048100,4,0
048100,5,0
048100,6,1
048800,1,1
048800,2,1
048800,3,1
048800,4,1
048800,5,1
049100,1,0
049100,2,0
049100,3,0
049100,4,0
049100,5,0
049100,6,0
049100,8,1
049850,1,1
049850,5,1
050750,2,1
050750,4,1
051750,3,1
052700,1,0
052700,2,0
052700,3,0
052700,4,0
052700,5,0
052700,6,1
052700,8,0
055050,6,0
055950,7,1
055950,8,1
056900,6,1
056900,8,0
057850,7,0
057850,8,1
058850,6,0
058850,7,1
059750,6,1
059800,8,0
060750,7,0
060750,8,1
061700,6,0
061700,7,1
062700,6,1
062700,8,0
063650,1,1
063750,2,1
063750,7,0
063950,3,1
064150,4,1
064350,5,1
064650,1,0
064650,2,0
064650,3,0
064650,4,0
064850,4,1
065000,3,1
065150,2,1
065350,1,1
065600,1,0
065600,2,0
065600,3,0
065600,4,0
065600,5,0
065700,1,1
065700,5,1
065800,2,1
065950,4,1
066150,3,1
066350,2,0
066350,4,0
066650,1,0
066650,2,1
066650,3,0
066650,4,1
066650,5,0
066800,1,1
066800,2,0
066800,3,1
066800,4,0
066800,5,1
067000,6,0
067000,7,1
067400,1,0
067400,3,0
067400,5,0
067400,7,0
067400,8,1
069450,1,1
069450,7,1
069450,8,0
071400,5,1
071400,6,1
071400,7,0
072350,2,1
072350,6,0
072350,8,1
073350,4,1
073350,7,1
073350,8,0
074250,3,1
074250,6,1
074250,7,0
075200,5,0
075250,4,0
075300,3,0
075350,2,0
075450,1,0
075450,6,0
079050,3,1
080050,2,1
080050,4,1
081000,1,1
081000,5,1
082000,1,0
082000,2,0
082000,3,0
082000,4,0
082000,5,0
082000,8,1
082650,7,1
082650,8,0
082850,3,1
083850,2,1
083850,4,1
084850,1,1
084850,5,1
085750,1,0
085750,2,0
085750,3,0
085750,4,0
085750,5,0
085750,6,1
085750,7,0
086450,1,1
086450,3,1
086450,5,1
086600,1,0
086600,3,0
086600,5,0
086750,1,1
086750,3,1
086750,5,1
087150,1,0
087150,3,0
087150,5,0
087650,6,0
087650,8,1
088650,6,1
088650,8,0
088750,2,1
088750,4,1
089600,6,0
089600,7,1
090600,1,1
090600,3,1
090600,5,1
091600,2,0
092550,5,0
093500,3,0
094450,1,0
095400,4,0
096350,7,0
098150,6,1
098150,7,1
098450,1,1
098500,1,0
098500,2,1
098600,2,0
098600,3,1
098650,3,0
098650,4,1
098750,4,0
098750,5,1
098800,5,0
098800,6,0
099050,6,1
099350,1,1
099400,1,0
099400,2,1
099500,2,0
099500,3,1
099550,3,0
099550,4,1
099650,4,0
099650,5,1
099700,5,0
099700,6,0
100000,6,1
100350,1,1
100400,1,0
100400,2,1
100450,2,0
100450,3,1
100500,3,0
100500,4,1
100550,4,0
100550,5,1
100600,5,0
100600,6,0
100900,6,1
101300,1,1
101350,1,0
101350,2,1
101450,2,0
101450,3,1
101500,3,0
101500,4,1
101600,4,0
101600,5,1
101650,5,0
101650,6,0
101950,6,1
101950,7,0
101950,8,1
102300,1,1
102350,1,0
102350,2,1
102450,2,0
102450,3,1
102500,3,0
102500,4,1
102600,4,0
102600,5,1
102650,5,0
102650,8,0
102950,8,1
103250,1,1
103300,1,0
103300,2,1
103400,2,0
103400,3,1
103450,3,0
103450,4,1
103550,4,0
103550,5,1
103600,5,0
103600,8,0
103900,8,1
104200,1,1
104250,1,0
104250,2,1
104350,2,0
104350,3,1
104400,3,0
104400,4,1
104500,4,0
104500,5,1
104550,5,0
104550,8,0
104900,8,1
105150,1,1
105200,1,0
105200,2,1
105300,2,0
105300,3,1
105400,3,0
105400,4,1
105500,4,0
105500,5,1
105550,5,0
105550,8,0
105900,8,1
106150,1,1
106200,1,0
106200,2,1
106300,2,0
106300,3,1
106400,3,0
106400,4,1
106500,4,0
106500,5,1
106550,5,0
106550,8,0
106800,8,1
107100,1,1
107150,1,0
107150,2,1
107250,2,0
107250,3,1
107300,3,0
107300,4,1
107400,4,0
107400,5,1
107450,5,0
107450,8,0
107750,8,1
108050,1,1
108100,1,0
108100,2,1
108200,2,0
108200,3,1
108250,3,0
108250,4,1
108350,4,0
108350,5,1
108400,5,0
108400,8,0
108650,8,1
109050,1,1
109100,1,0
109100,2,1
109200,2,0
109200,3,1
109250,3,0
109250,4,1
109350,4,0
109350,5,1
109400,5,0
109400,8,0
109700,8,1
110000,1,1
110050,1,0
110050,2,1
110150,2,0
110150,3,1
110250,3,0
110250,4,1
110350,4,0
110350,5,1
110400,5,0
110400,6,0
110400,8,0
110650,8,1
110700,7,1
110950,1,1
111000,1,0
111000,2,1
111100,2,0
111100,3,1
111200,3,0
111200,4,1
111300,4,0
111300,5,1
111350,5,0
111350,7,0
111650,7,1
111900,1,1
111950,1,0
111950,2,1
112050,2,0
112050,3,1
112150,3,0
112150,4,1
112250,4,0
112250,5,1
112300,5,0
112300,7,0
112600,7,1
112900,1,1
112950,1,0
112950,2,1
113000,2,0
113000,3,1
113100,3,0
113100,4,1
113150,4,0
113150,5,1
113200,5,0
113200,7,0
113500,7,1
113850,1,1
113900,1,0
113900,2,1
114000,2,0
114000,3,1
114050,3,0
114050,4,1
114150,4,0
114150,5,1
114200,5,0
114200,7,0
114500,7,1
114800,1,1
114850,1,0
114850,2,1
114950,2,0
114950,3,1
115000,3,0
115000,4,1
115100,4,0
115100,5,1
115150,5,0
115150,7,0
115450,7,1
115750,1,1
115800,1,0
115800,2,1
115900,2,0
115900,3,1
116000,3,0
116000,4,1
116100,4,0
116100,5,1
116150,5,0
116150,7,0
116400,7,1
116700,1,1
116750,1,0
116750,2,1
116850,2,0
116850,3,1
116950,3,0
116950,4,1
117050,4,0
117050,5,1
117100,5,0
117100,7,0
117100,8,0
117750,6,1
118200,6,0
118650,7,1
119150,7,0
119600,8,1
120800,4,1
120800,8,0
121100,2,1
121100,4,0
121350,2,0
121550,6,1
122250,6,0
122550,7,1
123200,7,0
123550,8,1
124450,4,1
124600,8,0
124800,2,1
124800,4,0
125050,2,0
125500,1,1
125500,3,1
125500,5,1
126400,1,0
126400,2,1
126400,3,0
126400,4,1
126400,5,0
127350,1,1
127350,2,0
127350,3,1
127350,4,0
127350,5,1
128300,1,0
128300,2,1
128300,3,0
128300,4,1
128300,5,0
129250,1,1
129250,2,0
129250,3,1
129250,4,0
129250,5,1
129250,8,1
130200,1,0
130200,2,1
130200,3,0
130200,4,1
130200,5,0
131200,1,1
131200,2,0
131200,3,1
131200,4,0
131200,5,1
132050,1,0
132050,2,1
132050,3,0
132050,4,1
132050,5,0
133050,2,0
133050,4,0
133050,8,0
133150,3,1
133450,2,1
133450,4,1
133800,1,1
133800,5,1
134100,3,0
134150,6,1
134400,2,0
134400,4,0
134750,1,0
134750,5,0
135050,6,0
135050,7,1
135100,3,1
135400,2,1
135400,4,1
135650,1,1
135650,5,1
136050,3,0
136100,7,0
136100,8,1
136350,2,0
136350,4,0
136700,1,0
136700,5,0
137050,3,1
137050,6,1
137050,8,0
137350,2,1
137350,4,1
137600,1,1
137600,5,1
138000,3,0
138000,6,0
138000,7,1
138300,2,0
138300,4,0
138650,1,0
138650,5,0
138850,7,0
138850,8,1
138950,3,1
139250,2,1
139250,4,1
139500,1,1
139500,5,1
139900,3,0
139950,6,1
139950,8,0
140200,2,0
140200,4,0
140550,1,0
140550,5,0
140950,5,1
140950,6,0
141150,4,1
141350,3,1
141550,2,1
141750,1,1
141900,1,0
141900,2,0
141900,3,0
141900,4,0
141900,5,0
142100,1,1
142150,6,1
142250,2,1
142450,3,1
142650,4,1
142850,5,1
143150,8,1
143500,7,1
143850,1,0
143850,2,0
143850,3,0
143850,4,0
143850,5,0
143850,6,0
143850,7,0
143850,8,0
144700,5,1
144900,4,1
144900,5,0
145050,3,1
145050,4,0
145200,2,1
145200,3,0
145400,1,1
145400,2,0
145550,1,0
145550,2,1
145700,2,0
145700,3,1
145900,3,0
145900,4,1
146050,4,0
146050,5,1
146250,5,0
146250,7,1
146550,5,1
146750,4,1
146750,5,0
146900,3,1
146900,4,0
147050,2,1
147050,3,0
147250,1,1
147250,2,0
147400,1,0
147400,2,1
147550,2,0
147550,3,1
147750,3,0
147750,4,1
147900,4,0
147900,5,1
148100,5,0
148100,8,1
148400,7,0
148400,8,0
148550,3,1
148700,3,0
148850,3,1
149000,3,0
149200,3,1
149350,3,0
149500,7,1
149800,6,1
150150,8,1
150400,3,1
150400,6,0
150400,7,0
150400,8,0
150600,3,0
150750,3,1
150950,3,0
151100,3,1
151300,3,0
151500,8,1
152350,6,1
152350,8,0
153400,6,0
153400,7,1
154350,7,0
154350,8,1
155300,8,0
156300,2,1
156650,4,1
156850,1,1
156950,3,1
157100,5,1
157250,6,1
157500,6,0
157550,8,1
157700,8,0
157850,8,1
158000,6,1
158000,8,0
158200,6,0
158200,8,1
158550,3,0
158550,8,0
158650,6,1
158800,5,0
158800,6,0
159000,2,0
159150,4,0
159250,1,0
159450,6,1
159650,7,1
159800,6,0
160050,7,0
160150,5,1
162050,4,1
164000,3,1
165050,2,1
165950,1,1
167600,1,0
167650,2,0
167700,3,0
167750,4,0
167800,5,0
167950,5,1
168000,4,1
168050,3,1
168100,2,1
168150,1,1
168200,7,1
168250,6,1
168300,8,1
168650,1,0
168650,2,0
168650,3,0
168650,4,0
168650,5,0
168650,6,0
168650,7,0
168650,8,0
168850,5,1
168900,4,1
168950,3,1
169000,2,1
169050,1,1
169100,6,1
169150,8,1
169200,7,1
169450,1,0
169450,2,0
169450,3,0
169450,4,0
169450,5,0
169450,6,0
169450,7,0
169450,8,0
169800,5,1
169850,4,1
169900,3,1
169950,2,1
170000,1,1
170050,6,1
170100,8,1
170150,7,1
170550,1,0
170550,2,0
170550,3,0
170550,4,0
170550,5,0
170550,6,0
170550,7,0
170550,8,0
170750,5,1
170800,4,1
170850,3,1
170900,2,1
170950,1,1
171000,6,1
171050,7,1
171100,8,1
171400,1,0
171400,2,0
171400,3,0
171400,4,0
171400,5,0
171400,6,0
171400,7,0
171400,8,0
171700,5,1
171750,4,1
171800,3,1
171850,2,1
171900,1,1
171950,8,1
172000,7,1
172050,6,1
172350,1,0
172350,2,0
172350,3,0
172350,4,0
172350,5,0
172350,6,0
172350,7,0
172350,8,0
172600,5,1
172650,4,1
172700,3,1
172750,2,1
172800,1,1
172850,8,1
172900,6,1
172950,7,1
173200,1,0
173200,2,0
173200,3,0
173200,4,0
173200,5,0
173200,6,0
173200,7,0
173200,8,0
173600,5,1
173650,4,1
173700,3,1
173750,2,1
173800,1,1
173850,7,1
173900,8,1
173950,6,1
174400,1,0
174400,2,0
174400,3,0
174400,4,0
174400,5,0
