TIME(MS),COMMAND,VALUE
000000,1,0
000000,2,0
000000,3,0
000000,4,0
000000,5,0
000000,6,0
000000,7,0
000000,8,0
000943,6,1
001215,6,0
001391,7,1
001847,7,0
001951,8,1
002503,8,0
002623,6,1
003191,6,0
003295,7,1
003839,7,0
003959,8,1
004447,8,0
004583,6,1
005047,6,0
005223,7,1
005871,7,0
005903,8,1
006519,8,0
006527,6,1
007207,7,1
007215,6,0
007879,8,1
007887,7,0
008519,6,1
008535,8,0
009183,7,1
009223,6,0
009855,8,1
009887,7,0
010519,6,1
010559,8,0
010880,5,1
011008,5,0
011167,7,1
011199,6,0
011232,5,1
011552,1,1
011608,5,0
011720,1,0
011791,8,1
011823,7,0
011920,1,1
012208,2,1
012320,1,0
012368,3,1
012423,6,1
012424,2,0
012439,8,0
012744,4,1
012792,3,0
013064,5,1
013087,7,1
013088,4,0
013095,6,0
013400,5,0
013528,5,1
013752,5,0
013767,8,1
013799,7,0
013856,5,1
014000,5,0
014176,5,1
014432,4,1
014439,6,1
014495,8,0
014504,5,0
014704,3,1
014776,4,0
015056,2,1
015063,7,1
015071,6,0
015120,3,0
015208,1,1
015256,2,0
015719,8,1
015743,7,0
015752,1,0
016144,5,1
016304,5,0
016375,6,1
016391,8,0
016472,5,1
016736,1,1
016792,5,0
016928,1,0
017031,7,1
017039,6,0
017096,1,1
017440,2,1
017536,1,0
017711,8,1
017727,7,0
017856,3,1
017912,2,0
018160,4,1
018248,3,0
018319,6,1
018336,5,1
018343,8,0
018392,4,0
018576,5,0
018800,5,1
018960,5,0
018999,7,1
019026,6,0
019088,5,1
019448,4,1
019512,5,0
019616,3,1
019681,4,0
019727,8,1
019742,7,0
020008,2,1
020050,3,0
020351,6,1
020384,1,1
020391,8,0
020400,2,0
020816,1,0
021039,7,1
021047,6,0
021256,5,1
021600,4,1
021607,5,0
021687,8,1
021718,7,0
021872,5,1
021919,4,0
022056,4,1
022103,5,0
022359,6,1
022383,8,0
022440,3,1
022479,4,0
022912,2,1
022967,3,0
023015,7,1
023046,6,0
023224,1,1
023249,2,0
023416,2,1
023488,1,0
023647,8,1
023665,7,0
023872,3,1
023903,2,0
024200,4,1
024263,3,0
024319,6,1
024334,8,0
024520,5,1
024543,4,0
024768,4,1
024831,5,0
025015,7,1
025038,6,0
025080,3,1
025111,4,0
025440,2,1
025487,3,0
025630,8,1
025654,7,0
025911,2,0
026230,6,1
026266,8,0
026507,5,1
026666,5,0
026787,4,1
026875,3,1
026899,2,1
026927,7,1
026954,3,0
026962,4,0
026974,6,0
027356,1,1
027418,2,0
027599,8,1
027622,7,0
027651,1,0
027811,1,1
027947,1,0
028139,1,1
028238,6,1
028278,8,0
028427,2,1
028482,1,0
028795,3,1
028842,2,0
028903,7,1
028942,6,0
029115,4,1
029178,3,0
029442,4,0
029451,5,1
029582,8,1
029598,7,0
029794,5,0
030235,1,1
030271,6,1
030310,8,0
030355,3,1
030418,1,0
030554,5,1
030578,3,0
030763,1,1
030802,5,0
030935,7,1
030959,6,0
031210,1,0
031614,8,1
031638,7,0
031739,5,1
031906,5,0
032075,4,1
032155,3,1
032190,6,1
032203,2,1
032230,8,0
032234,4,0
032266,3,0
032643,1,1
032658,2,0
032814,6,0
032854,7,1
032866,1,0
033075,1,1
033210,1,0
033403,1,1
033494,8,1
033526,7,0
033699,2,1
033714,1,0
034043,3,1
034082,2,0
034134,6,1
034158,8,0
034354,4,1
034405,3,0
034698,4,0
034707,5,1
034798,7,1
034806,6,0
035034,5,0
035494,8,1
035502,7,0
036158,6,1
036182,8,0
036870,7,1
036910,6,0
037462,8,1
037486,7,0
038078,6,1
038142,8,0
038750,7,1
038774,6,0
039438,8,1
039446,7,0
040000,5,1
040102,6,1
040126,8,0
040136,5,0
040216,5,1
040552,5,0
040560,1,1
040696,1,0
040766,7,1
040782,6,0
040872,1,1
041152,2,1
041199,1,0
041360,3,1
041416,2,0
041438,8,1
041470,7,0
041816,4,1
041888,3,0
042056,5,1
042086,6,1
042102,8,0
042103,4,0
042288,5,0
042472,5,1
042656,5,0
042726,7,1
042758,6,0
042808,5,1
043144,4,1
043216,5,0
043352,3,1
043398,8,1
043415,4,0
043422,7,0
043680,2,1
043711,3,0
044038,6,1
044056,1,1
044078,8,0
044087,2,0
044592,1,0
044678,7,1
044718,6,0
045088,5,1
045280,5,0
045358,8,1
045366,7,0
045464,5,1
045792,1,1
045848,5,0
045911,1,0
046006,6,1
046054,8,0
046120,1,1
046424,2,1
046480,1,0
046600,3,1
046670,7,1
046710,6,0
046712,2,0
047040,4,1
047112,3,0
047302,8,1
047326,7,0
047352,5,1
047392,4,0
047616,5,0
047752,5,1
047944,5,0
047966,6,1
048006,8,0
048096,5,1
048424,4,1
048495,5,0
048632,3,1
048670,7,1
048688,4,0
048694,6,0
049176,2,1
049200,3,0
049390,8,1
049430,7,0
049432,1,1
049480,2,0
049943,1,0
049982,6,1
050022,8,0
050304,5,1
050607,4,1
050647,5,0
050670,7,1
050686,6,0
050903,5,1
050951,4,0
051135,4,1
051191,5,0
051326,8,1
051350,7,0
051519,3,1
051535,4,0
051879,2,1
051903,3,0
051950,6,1
051982,8,0
052191,1,1
052207,2,0
052487,2,1
052527,1,0
052590,7,1
052638,6,0
052935,3,1
052991,2,0
053302,8,1
053326,7,0
053343,4,1
053391,3,0
053631,5,1
053663,4,0
053775,4,1
053855,5,0
053950,6,1
053966,8,0
054119,3,1
054127,4,0
054439,2,1
054471,3,0
054582,7,1
054622,6,0
054823,2,0
055254,8,1
055270,7,0
055498,5,1
055650,5,0
055787,4,1
055866,3,1
055906,2,1
055926,6,1
055946,4,0
055958,8,0
055970,3,0
056339,1,1
056370,2,0
056590,7,1
056594,1,0
056638,6,0
056762,1,1
056874,1,0
057075,1,1
057174,8,1
057182,7,0
057354,2,1
057410,1,0
057707,3,1
057746,2,0
057806,6,1
057838,8,0
058010,4,1
058082,3,0
058338,4,0
058362,5,1
058494,7,1
058502,6,0
058706,5,0
059131,1,1
059166,8,1
059198,7,0
059266,3,1
059314,1,0
059450,5,1
059490,3,0
059610,1,1
059634,5,0
059830,6,1
059878,8,0
060034,1,0
060392,6,0
060392,6,1
060454,7,1
060462,6,0
060666,5,1
060866,5,0
060970,4,1
061050,3,1
061070,8,1
061090,2,1
061118,7,0
061130,3,0
061138,4,0
061506,2,0
061514,1,1
061738,1,0
061745,6,1
061782,8,0
061930,1,1
062090,1,0
062242,1,1
062350,7,1
062374,6,0
062546,2,1
062626,1,0
062906,3,1
062946,2,0
063022,8,1
063046,7,0
063218,4,1
063258,3,0
063570,4,0
063578,5,1
063638,6,1
063686,8,0
063818,5,0
064334,7,1
064374,6,0
065022,8,1
065046,7,0
065678,6,1
065718,8,0
066302,7,1
066310,6,0
066349,5,1
066950,8,1
066982,7,0
067629,4,1
067670,6,1
067686,8,0
067717,3,1
067724,5,0
067748,4,0
068318,7,1
068342,6,0
068732,3,0
068813,1,1
068926,8,1
068966,7,0
069630,6,1
069678,8,0
069692,1,0
069885,1,1
070004,1,0
070189,1,1
070222,7,1
070253,6,0
070645,3,1
070676,1,0
070894,8,1
070918,7,0
071044,3,0
071525,1,1
071526,6,1
071574,8,0
072286,7,1
072342,6,0
072444,2,1
072484,1,0
072789,1,1
072812,2,0
072846,8,1
072861,7,0
073292,1,0
073455,6,1
073526,8,0
074134,7,1
074141,1,1
074190,6,0
074822,8,1
074869,7,0
075108,3,1
075132,1,0
075428,3,0
075437,1,1
075478,6,1
075558,8,0
076134,7,1
076165,6,0
076172,2,1
076199,1,0
076806,8,1
076836,1,1
076862,7,0
076884,2,0
077446,6,1
077477,8,0
077708,1,0
077900,2,1
078110,7,1
078141,6,0
078172,2,0
078180,1,1
078540,1,0
078806,8,1
078829,7,0
079470,6,1
079517,8,0
079539,5,1
079938,5,0
080102,7,1
080149,6,0
080163,5,1
080758,8,1
080797,7,0
080843,5,0
080883,4,1
081315,4,0
081406,6,1
081461,8,0
081563,4,1
082062,7,1
082101,6,0
082179,3,1
082194,4,0
082726,8,1
082773,7,0
082827,3,0
083139,3,1
083413,6,1
083467,2,1
083477,8,0
083587,3,0
083611,1,1
083666,2,0
083826,1,0
084027,1,1
084029,7,1
084077,6,0
084179,2,1
084290,1,0
084491,3,1
084538,2,0
084560,7,0
084560,7,1
084707,3,0
084750,8,1
084773,7,0
