TIME(MS),COMMAND,VALUE
000000,1,0
000000,2,0
000000,3,0
000000,4,0
000000,5,0
000000,6,0
000000,7,0
000000,8,0
000500,8,1
002300,7,1
004100,6,1
005900,6,0
006700,7,0
007100,8,0
007500,8,1
009300,7,1
011100,6,1
012900,6,0
013700,7,0
014100,8,0
014500,8,1
014500,5,1
014700,5,0
014700,3,1
016900,3,0
016900,4,1
017100,4,0
017100,5,1
017300,5,0
017800,5,1
018000,5,0
018000,4,1
018200,4,0
018200,3,1
019200,3,0
019200,4,1
019600,4,0
019600,5,1
020300,5,0
020500,8,0
021000,7,1
021400,5,1
022400,5,0
022400,3,1
023200,3,0
023200,2,1
023500,2,0
023500,3,1
024000,3,0
024600,5,1
025200,5,0
025200,3,1
025500,3,0
025500,2,1
025800,2,0
026300,2,1
026600,2,0
026600,4,1
026800,4,0
026800,3,1
027200,3,0
027200,7,0
028600,6,1
030323,3,1
032180,2,1
032180,4,1
033799,1,1
033799,5,1
035232,8,0
037000,2,0
037500,5,0
038000,1,0
038500,4,0
039000,3,0
039500,6,0
042400,5,1
042550,4,1
042700,3,1
042700,5,0
042850,2,1
042850,4,0
043000,1,1
043000,3,0
043150,2,0
043300,1,0
045790,5,1
045940,4,1
046090,3,1
046090,5,0
046240,2,1
046240,4,0
046390,1,1
046390,3,0
046540,2,0
046690,1,0
049250,5,1
049400,4,1
049550,3,1
049550,5,0
049700,2,1
049700,4,0
049850,1,1
049850,3,0
050000,2,0
050150,1,0
053000,5,1
053500,4,1
054000,3,1
054500,2,1
055000,1,1
055500,8,1
056000,7,1
056500,6,1
060000,1,0
060000,2,0
060000,3,0
060000,4,0
060000,5,0
060000,8,0
060000,7,0
060000,6,0
060150,3,1
060350,3,0
060595,3,1
060795,3,0
061040,3,1
061240,3,0
061485,3,1
061685,3,0
061930,2,1
061930,4,1
062130,2,0
062130,4,0
062375,2,1
062375,4,1
062575,2,0
062575,4,0
062820,2,1
062820,4,1
063020,2,0
063020,4,0
063265,2,1
063265,4,1
063465,2,0
063465,4,0
063710,3,1
063910,3,0
064155,3,1
064355,3,0
064600,3,1
064800,3,0
065045,3,1
065245,3,0
065490,2,1
065690,2,0
065935,4,1
066135,4,0
066380,2,1
066580,2,0
066825,3,1
067025,3,0
067270,4,1
067470,4,0
067715,2,1
067915,2,0
068160,3,1
068360,3,0
068605,4,1
068805,4,0
069050,3,1
069250,3,0
069495,3,1
069695,3,0
069940,3,1
070140,3,0
070385,3,1
070585,3,0
070830,4,1
071030,4,0
071275,2,1
071475,2,0
071720,3,1
071920,3,0
072165,4,1
072365,4,0
072610,5,1
072610,4,1
072810,5,0
072810,4,0
073055,4,1
073055,3,1
073255,4,0
073255,3,0
073500,3,1
073500,2,1
073700,3,0
073700,2,0
073945,2,1
073945,1,1
074145,2,0
074145,1,0
074390,5,1
074600,4,1
075100,3,1
075100,5,0
075600,2,1
075600,4,0
076000,1,1
076000,3,0
076500,2,0
077000,1,0
077600,5,1
078100,4,1
078600,3,1
078600,5,0
079100,2,1
079100,4,0
079600,1,1
079600,3,0
080100,2,0
080600,1,0
081200,8,1
081900,7,1
082600,6,1
086450,6,0
086500,7,0
086550,8,0
087073,3,1
087299,4,1
087299,3,0
087501,2,1
087501,4,0
087734,5,1
087734,2,0
087960,1,1
087960,5,0
088126,1,0
088126,7,1
090000,8,1
091600,8,0
091600,7,0
091800,4,1
092020,4,0
092240,4,1
092460,4,0
092680,4,1
092900,4,0
093120,4,1
093340,4,0
093560,5,1
093780,5,0
094000,5,1
094220,5,0
094440,5,1
094660,5,0
094880,5,1
095100,5,0
095320,4,1
095540,4,0
095760,4,1
095980,4,0
096200,4,1
096420,4,0
096640,4,1
096860,4,0
097080,5,1
097300,5,0
097520,5,1
097740,5,0
097960,5,1
098180,5,0
098400,5,1
098620,5,0
098840,4,1
099060,4,0
099280,4,1
099500,4,0
099720,4,1
099940,4,0
100160,4,1
100380,4,0
100600,3,1
100820,3,0
101040,3,1
101260,3,0
101480,3,1
101700,3,0
101920,3,1
102140,3,0
103900,7,0
103900,5,1
104075,4,1
104075,5,0
104250,3,1
104250,4,0
104425,3,0
104425,2,1
104600,1,1
104600,2,0
104775,2,1
104775,1,0
104950,3,1
104950,2,0
105125,4,1
105125,3,0
105300,5,1
105300,4,0
105438,8,1
105438,5,0
109932,8,0
110800,5,1
111200,4,1
111200,5,0
111600,3,1
111600,4,0
112000,2,1
112000,3,0
112400,1,1
112400,2,0
112600,1,0
113200,7,1
116205,1,1
116405,1,0
116628,2,1
116828,2,0
117093,3,1
117293,3,0
117521,4,1
117721,4,0
117962,5,1
118162,5,0
118409,3,1
118609,3,0
118843,2,1
118843,3,1
118843,4,1
119043,2,1
119043,3,1
119043,4,1
119290,2,1
119290,3,1
119290,4,1
119490,2,0
119490,3,0
119490,4,0
119500,7,0
119500,5,1
119800,3,1
120200,1,1
120450,4,1
120736,2,1
121000,1,0
121000,2,0
121000,3,0
121000,4,0
121000,5,0
121500,3,1
121600,2,1
121600,4,1
121700,1,1
121700,5,1
121700,3,0
121800,2,0
121800,4,0
121800,8,1
121900,1,0
121900,5,0
128450,3,1
128450,8,0
128550,2,1
128550,4,1
128650,1,1
128650,5,1
128650,3,0
128750,2,0
128750,4,0
128850,1,0
128850,5,0
128850,7,1
135472,3,1
136163,2,1
136163,4,1
136886,1,1
136886,5,1
136886,7,0
146100,1,0
146200,2,0
146300,3,0
146400,4,0
146500,5,0
160000,5,1
160050,4,1
160100,3,1
160150,2,1
160200,1,1
160250,7,1
160250,8,1
166500,7,0
166500,8,0
166600,1,0
166650,2,0
166700,3,0
166750,4,0
166800,5,0
167000,5,1
167050,4,1
167100,3,1
167150,2,1
167200,1,1
167250,7,1
167250,8,1
173500,7,0
173500,8,0
173600,1,0
173650,2,0
173700,3,0
173750,4,0
173800,5,0
174100,5,1
174150,4,1
174200,3,1
174250,2,1
174300,1,1
174350,5,0
174400,4,0
174450,3,0
174500,2,0
174550,1,0
181200,2,1
181400,4,1
181400,2,0
181600,1,1
181600,4,0
181800,5,1
181800,1,1
182000,3,1
182000,1,0
182000,5,0
182200,3,0
182900,8,1
184500,7,1
186200,8,0
187800,7,0
189700,5,1
189800,4,1
189900,3,1
189900,5,0
190000,2,1
190000,4,0
190100,1,1
190100,3,0
190200,2,0
190300,1,0
191500,8,1
196200,1,0
196200,2,0
196200,3,0
196200,4,0
196200,5,0
196200,6,0
196200,7,0
196200,8,0
196800,5,1
196900,4,1
197000,3,1
197100,2,1
197200,1,1
197300,7,1
197300,1,0
197300,2,0
197300,3,0
197300,4,0
197300,5,0
197500,5,1
197600,4,1
197700,3,1
197800,2,1
197900,1,1
198000,8,1
198000,7,0
198000,1,0
198000,2,0
198000,3,0
198000,4,0
198000,5,0
198100,5,1
198200,4,1
198300,3,1
198400,2,1
198500,1,1
198600,7,1
199650,7,0
199650,8,0
199650,1,0
199800,2,0
199950,3,0
199100,4,0
199250,5,0
200353,8,1
201096,7,1
201096,8,0
201760,7,1
201760,8,1
206200,7,0
206200,8,0
207200,6,1
207200,1,1
207300,2,1
207400,3,1
207500,1,0
207500,4,1
207600,2,0
207600,5,1
207600,3,0
207700,1,1
207700,4,0
207800,2,1
207800,5,0
207900,3,1
207900,1,0
208000,4,1
208000,2,0
208100,5,1
208100,3,0
208200,1,1
208200,4,0
208300,2,1
208300,5,0
208400,3,1
208400,1,0
208500,4,1
208500,2,0
208600,5,1
208600,3,0
208700,1,1
208700,4,0
208800,2,1
208800,5,0
208900,3,1
208900,1,0
209000,4,1
209000,2,0
209100,5,1
209100,3,0
209200,1,1
209200,4,0
209300,2,1
209300,5,0
209400,3,1
209400,1,0
209500,4,1
209500,2,0
209600,5,1
209600,3,0
209700,1,1
209700,4,0
209800,2,1
209800,5,0
209900,3,1
209900,1,0
210000,4,1
210000,2,0
210100,5,1
210100,3,0
210200,1,1
210200,4,0
210300,2,1
210300,5,0
210400,3,1
210400,1,0
210500,4,1
210500,2,0
210600,5,1
210700,1,1
210800,2,1
214362,7,0
214362,6,0
214362,1,0
214412,5,0
214462,2,0
214512,4,0
214562,3,0
