TIME(MS),COMMAND,VALUE
000550,5,1
000750,4,1
000750,5,0
000900,1,1
000900,4,0
001100,1,0
001100,5,1
001300,4,1
001300,5,0
001450,1,1
001450,4,0
001800,7,1
001900,1,0
001900,5,1
002300,3,1
002300,5,0
002500,2,1
002500,3,0
002550,6,1
002550,7,0
002650,2,0
002650,5,1
002850,3,1
002850,5,0
003050,2,1
003050,3,0
003250,6,0
003250,8,1
003400,2,0
003400,5,1
003750,3,1
003750,5,0
004000,1,1
004000,3,0
004000,7,1
004000,8,0
004150,1,0
004150,5,1
004350,3,1
004350,5,0
004550,1,1
004550,3,0
004750,6,1
004750,7,0
004900,1,0
004900,5,1
005300,3,1
005300,5,0
005500,2,1
005500,3,0
005500,6,0
005500,8,1
005650,2,0
005650,5,1
005800,3,1
005800,5,0
006000,2,1
006000,3,0
006250,7,1
006250,8,0
006400,2,0
006400,3,1
006400,5,1
006800,2,1
006800,3,0
006800,4,1
006800,5,0
007000,1,1
007000,2,0
007000,3,1
007000,4,0
007000,6,1
007000,7,0
007200,1,0
007200,3,0
007350,1,1
007350,3,1
007500,1,0
007500,2,1
007500,3,0
007500,4,1
007700,2,0
007700,3,1
007700,4,0
007700,5,1
007750,6,0
007750,8,1
008100,2,1
008100,3,0
008100,4,1
008100,5,0
008500,7,1
008500,8,0
008600,2,0
008600,3,1
008600,4,0
008600,5,1
009250,3,0
009250,5,0
009250,6,1
009250,7,0
009400,3,1
009400,5,1
009800,2,1
009800,3,0
009800,4,1
009800,5,0
009950,6,0
009950,8,1
010000,1,1
010000,2,0
010000,3,1
010000,4,0
010150,1,0
010150,3,0
010300,1,1
010300,3,1
010700,7,1
010700,8,0
011400,6,1
011400,7,0
012150,6,0
012150,8,1
012200,1,0
012200,3,0
012350,3,1
012350,5,1
012700,2,1
012700,3,0
012700,4,1
012700,5,0
012850,7,1
012850,8,0
012900,1,1
012900,2,0
012900,3,1
012900,4,0
013150,1,0
013150,3,0
013250,1,1
013250,3,1
013450,1,0
013450,2,1
013450,3,0
013450,4,1
013600,2,0
013600,3,1
013600,4,0
013600,5,1
013600,6,1
013600,7,0
013950,2,1
013950,3,0
013950,4,1
013950,5,0
014300,6,0
014300,8,1
014500,2,0
014500,3,1
014500,4,0
014500,5,1
015050,7,1
015050,8,0
015200,3,0
015200,5,0
015250,2,1
015250,4,1
015800,6,1
015800,7,0
015850,2,0
015850,4,0
015950,1,1
015950,4,1
016100,1,0
016100,4,0
016150,1,1
016150,4,1
016550,6,0
016550,8,1
017250,7,1
017250,8,0
018000,6,1
018000,7,0
018050,1,0
018050,4,0
018200,3,1
018200,5,1
018750,6,0
018750,8,1
018900,2,1
018900,3,0
018900,4,1
018900,5,0
019000,2,0
019000,4,0
019100,2,1
019100,4,1
019450,7,1
019450,8,0
020200,6,1
020200,7,0
020900,6,0
020900,8,1
021000,2,0
021000,4,0
021150,3,1
021150,5,1
021450,2,1
021450,3,0
021450,4,1
021450,5,0
021650,1,1
021650,2,0
021650,3,1
021650,4,0
021650,7,1
021650,8,0
021900,1,0
021900,3,0
022000,1,1
022000,3,1
022200,1,0
022200,2,1
022200,3,0
022200,4,1
022400,2,0
022400,3,1
022400,4,0
022400,5,1
022400,6,1
022400,7,0
022800,2,1
022800,3,0
022800,4,1
022800,5,0
023100,6,0
023100,8,1
023250,2,0
023250,3,1
023250,4,0
023250,5,1
023850,3,0
023850,5,0
023900,7,1
023900,8,0
024000,3,1
024000,5,1
024400,2,1
024400,3,0
024400,4,1
024400,5,0
024550,6,1
024550,7,0
024600,1,1
024600,2,0
024600,3,1
024600,4,0
024800,1,0
024800,3,0
024950,1,1
024950,3,1
025250,6,0
025250,8,1
025950,7,1
025950,8,0
026700,6,1
026700,7,0
026800,1,0
026800,3,0
026950,3,1
026950,5,1
027350,2,1
027350,3,0
027350,4,1
027350,5,0
027500,1,1
027500,2,0
