TIME(MS),COMMAND,VALUE
000000,1,0
000000,2,0
000000,3,0
000000,4,0
000000,5,0
000000,6,0
000000,7,0
000000,8,0
008298,6,1
008328,3,1
009392,2,1
009400,3,0
009688,3,1
009712,2,0
010144,3,0
010345,5,1
011536,5,0
011754,6,0
012209,3,1
012283,7,1
013201,2,1
013209,3,0
013545,3,1
013561,2,0
014201,3,0
014209,5,1
015433,5,0
015483,7,0
016073,1,1
016139,6,1
017041,1,0
017370,1,1
018026,3,1
018033,1,0
019330,3,0
019675,6,0
019922,2,1
020004,7,1
020858,2,0
021202,2,1
021938,2,0
022010,4,1
023060,7,0
023194,4,0
023740,6,1
023836,2,1
024924,2,0
025180,2,1
025804,2,0
025812,1,1
026764,2,1
026772,1,0
027124,3,1
027164,2,0
027172,6,0
027757,7,1
027764,3,0
027772,4,1
028796,3,1
028812,4,0
029144,4,1
029180,3,0
029820,5,1
029836,4,0
030805,7,0
030964,5,0
031517,6,1
031544,3,1
032743,3,0
032888,3,1
033511,3,0
033520,1,1
034496,2,1
034536,1,0
034840,3,1
034872,2,0
034877,6,0
035488,4,1
035504,3,0
035510,7,1
036464,3,1
036472,4,0
036768,4,1
036784,3,0
037408,5,1
037456,4,0
038600,5,0
038918,7,0
039286,6,1
039328,2,1
040528,2,0
040689,2,1
041321,1,1
041345,2,0
042249,2,1
042257,1,0
042545,3,1
042569,2,0
042743,6,0
043233,2,1
043273,3,0
043279,7,1
045161,1,1
045185,2,0
046489,1,0
046495,7,0
047033,1,1
047079,6,1
047681,2,1
047729,1,0
048354,3,1
048377,2,0
049010,2,1
049034,3,0
050018,3,1
050058,2,0
050354,3,0
050362,4,1
050376,6,0
051024,7,1
051026,5,1
051066,4,0
052738,5,0
054336,7,0
054792,6,1
054886,3,1
055942,2,1
055950,3,0
056223,3,1
056255,2,0
056950,3,0
056959,5,1
058207,5,0
058305,6,0
058671,3,1
058753,7,1
060063,2,1
060087,3,0
060415,3,1
060455,2,0
060615,3,0
060623,5,1
062119,5,0
062201,7,0
062553,6,1
062620,1,1
063651,1,0
063924,1,1
064532,3,1
064539,1,0
066084,3,0
066146,6,0
066404,2,1
066482,7,1
067332,2,0
067644,2,1
068356,2,0
068364,4,1
069580,4,0
069778,7,0
070036,3,1
070308,2,1
070316,3,0
070322,6,1
071428,2,0
071661,2,1
072253,1,1
072285,2,0
073189,2,1
073221,1,0
073475,6,0
073525,3,1
073573,2,0
074171,7,1
074213,3,0
074221,4,1
075229,3,1
075253,4,0
075549,3,0
075557,4,1
076157,5,1
076197,4,0
077371,7,0
077373,5,0
078028,6,1
078029,3,1
078597,3,0
078750,3,1
079310,2,1
079317,3,0
079958,1,1
080014,2,0
080886,2,1
080894,1,0
081222,3,1
081270,2,0
081428,6,0
081854,3,0
081862,4,1
081892,7,1
082822,3,1
082830,4,0
083430,4,1
083478,3,0
083806,5,1
083838,4,0
084660,7,0
085078,5,0
085677,6,1
085750,2,1
086758,2,0
086999,2,1
087649,1,1
087671,2,0
088711,2,1
088735,1,0
089047,3,1
089063,2,0
089357,6,0
089631,2,1
089655,3,0
089717,7,1
091639,1,1
091687,2,0
092887,1,0
092965,7,0
093567,1,1
093622,6,1
093659,1,1
094207,2,1
094210,1,0
094215,1,0
094259,2,1
094848,3,1
094855,2,0
094901,2,0
094907,3,1
095512,2,1
095519,3,0
095523,2,1
095547,3,0
096382,6,0
096440,3,1
096504,2,0
096515,3,1
096555,2,0
096824,4,1
096848,3,0
096851,3,0
096859,4,1
097438,7,1
097467,5,1
097491,4,0
097504,5,1
097544,4,0
098568,5,0
098568,5,1
099251,5,0
099264,5,0
099942,7,0
100862,4,1
101022,3,1
101102,4,0
101255,8,1
101262,2,1
101310,3,0
102270,2,0
102542,2,1
103278,1,1
103294,2,0
104246,2,1
104270,1,0
104550,3,1
104582,2,0
105198,2,1
105230,3,0
106838,3,1
106870,2,0
106979,2,1
106998,3,0
107150,1,1
107190,2,0
108486,1,0
108591,8,0
109103,1,1
109184,8,1
109847,2,1
109863,1,0
110503,3,1
110543,2,0
111255,2,1
111279,3,0
111288,8,0
111296,7,1
112431,3,1
112479,2,0
112903,4,1
112927,3,0
113551,3,1
113575,4,0
113663,3,0
113671,4,1
114159,5,1
114183,4,0
114192,6,1
114224,7,0
116983,5,0
119529,6,0
