TIME(MS),COMMAND,VALUE
000000,1,0
000000,2,0
000000,3,0
000000,4,0
000000,5,0
000000,6,0
000000,7,0
000000,8,0
004162,5,1
004289,5,0
004401,5,1
004545,5,0
004669,6,1
004689,5,1
005033,5,0
005217,4,1
005329,4,0
005465,4,1
005585,4,0
005589,6,0
005661,7,1
005705,4,1
005961,4,0
006189,4,1
006425,5,1
006457,4,0
006525,7,0
006673,4,1
006677,8,1
006705,5,0
006929,3,1
006993,4,0
007185,2,1
007225,3,0
007425,2,0
007433,4,1
007681,3,1
007705,4,0
007725,8,0
008201,3,0
008522,5,1
008722,3,1
008770,5,0
008888,8,1
008896,7,1
008904,6,1
009194,1,1
009218,3,0
009458,2,1
009474,1,0
009730,3,1
009802,2,0
010018,4,1
010074,3,0
010266,3,1
010282,4,0
010754,4,1
010778,3,0
011906,4,0
012048,8,0
012056,7,0
012064,6,0
012409,5,1
012521,5,0
012625,5,1
012769,5,0
012885,6,1
012889,5,1
013025,5,0
013105,5,1
013297,5,0
013393,4,1
013545,4,0
013649,4,1
013769,4,0
013861,6,0
013901,7,1
013905,4,1
014169,4,0
014409,4,1
014649,5,1
014673,4,0
014805,7,0
014853,8,1
014905,4,1
014921,5,0
015129,3,1
015153,4,0
015385,2,1
015417,3,0
015633,2,0
015641,4,1
015897,3,1
015921,4,0
015941,8,0
016353,3,0
016932,6,1
016941,1,1
017341,1,0
017469,3,1
017693,2,1
017725,3,0
017989,1,1
018021,2,0
018229,1,0
018316,6,0
018482,5,1
018730,3,1
018762,5,0
019002,2,1
019050,3,0
019168,8,1
019176,7,1
019184,6,1
019506,1,1
019530,2,0
019746,2,1
019794,1,0
020026,3,1
020098,2,0
020282,4,1
020338,3,0
020514,3,1
020530,4,0
021018,4,1
021058,3,0
022122,4,0
022288,7,0
022296,6,0
022304,8,0
022585,5,1
022721,5,0
022881,5,1
023009,5,0
023101,6,1
023121,5,1
023481,5,0
023593,4,1
023721,4,0
023833,4,1
023969,4,0
024061,6,0
024101,7,1
024105,4,1
024393,4,0
024585,4,1
024825,5,1
024841,4,0
025049,4,1
025061,8,1
025065,5,0
025069,7,0
025297,3,1
025329,4,0
025569,2,1
025609,3,0
025849,2,0
025857,4,1
026133,8,0
026137,3,1
026145,4,0
026641,3,0
027156,6,1
027189,1,1
027573,1,0
027669,3,1
027853,2,1
027925,3,0
028141,1,1
028180,2,0
028300,6,0
028429,1,0
028652,7,1
028685,1,1
029149,1,0
029221,3,1
029397,2,1
029469,3,0
029701,1,1
029740,2,0
029965,1,0
029972,7,0
030210,5,1
030482,3,1
030505,5,0
030730,2,1
030737,3,0
030920,8,1
030928,7,1
030936,6,1
031226,2,0
031237,1,1
031466,2,1
031505,1,0
031738,3,1
031809,2,0
031986,4,1
032025,3,0
032250,3,1
032257,4,0
032730,3,0
032738,4,1
033777,4,0
033984,8,0
033993,7,0
034000,6,0
034329,5,1
034465,5,0
034585,5,1
034705,5,0
034837,6,1
034841,5,1
035185,5,0
035417,4,1
035553,4,0
035665,4,1
035785,4,0
035862,6,0
035885,7,1
035921,4,1
036209,4,0
036401,4,1
036641,4,0
036657,5,1
036837,7,0
036861,8,1
036905,4,1
036937,5,0
037153,3,1
037193,4,0
037425,2,1
037457,3,0
037697,2,0
037706,4,1
037925,8,0
037953,3,1
037969,4,0
038401,3,0
038933,1,1
038972,6,1
039396,1,0
039437,3,1
039677,2,1
039740,3,0
039997,1,1
040053,2,0
040301,1,0
040372,6,0
040476,7,1
040493,1,1
041037,3,1
041044,1,0
041237,2,1
041292,3,0
041573,1,1
041612,2,0
041820,7,0
041828,1,0
041972,8,1
042029,1,1
042508,1,0
042525,3,1
042757,2,1
042772,3,0
043053,1,1
043092,2,0
043284,8,0
043292,1,0
043554,5,1
043794,3,1
043857,5,0
044058,2,1
044113,3,0
044264,8,1
044272,7,1
044280,6,1
044625,2,0
044633,1,1
044890,2,1
044913,1,0
045154,3,1
045225,2,0
045426,4,1
045489,3,0
045690,3,1
045721,4,0
046202,4,1
046233,3,0
047185,4,0
047392,8,0
047400,7,0
047408,6,0
047729,5,1
047873,5,0
047953,5,1
048089,5,0
048209,5,1
048253,6,1
048601,5,0
048785,4,1
048913,4,0
049041,4,1
049161,4,0
049245,6,0
049265,4,1
049293,7,1
049529,4,0
049777,4,1
050025,5,1
050049,4,0
050285,8,1
050289,4,1
050293,7,0
050321,5,0
050513,3,1
050561,4,0
050777,2,1
050817,3,0
051033,2,0
051041,4,1
051297,3,1
051313,4,0
051333,8,0
051809,3,0
052444,8,1
052452,7,1
052454,5,1
052460,6,1
052509,4,1
052613,3,1
052637,5,0
052685,1,1
052701,4,0
052725,3,0
052813,2,1
052837,3,1
052901,2,0
052909,1,0
052949,4,1
053021,1,1
053037,3,0
053077,2,1
053085,4,0
053205,3,1
053213,1,0
053269,2,0
053381,4,1
053421,3,0
053877,4,0
054252,8,0
054260,7,0
054268,6,0
054349,5,1
054397,4,1
054468,8,1
054476,7,1
054484,6,1
054509,3,1
054549,5,0
054573,1,1
054613,3,0
054621,4,0
054693,2,1
054741,3,1
054837,1,0
054917,2,0
054957,4,1
055005,3,0
055013,1,1
055077,2,1
055085,4,0
055149,3,1
055181,1,0
055197,2,0
055261,4,1
055333,3,0
055477,5,1
055517,4,0
056140,8,0
056148,7,0
056156,6,0
056173,5,0
056333,5,1
056357,4,1
056484,8,1
056492,7,1
056493,3,1
056500,6,1
056525,1,1
056549,5,0
056597,3,0
056629,4,0
056685,2,1
056781,3,1
056797,1,0
056877,2,0
058903,3,0
058916,8,0
058924,7,0
058932,6,0
059635,1,1
059843,2,1
059947,1,0
059988,6,1
060147,3,1
060219,2,0
060379,4,1
060435,3,0
060651,5,1
060707,4,0
060948,6,0
061028,7,1
061075,2,1
061091,5,0
061563,3,1
061595,2,0
062019,2,1
062043,3,0
062300,7,0
062428,8,1
062475,2,0
062483,1,1
062683,2,1
062747,1,0
062955,3,1
063027,2,0
063179,4,1
063243,3,0
063435,4,0
063459,5,1
063739,5,0
063796,8,0
063889,5,1
064153,3,1
064209,5,0
064409,2,1
064465,3,0
064584,8,1
064592,7,1
064600,6,1
064913,1,1
064945,2,0
065169,2,1
065233,1,0
065457,3,1
065561,2,0
065713,4,1
065769,3,0
065977,3,1
065993,4,0
066441,4,1
066473,3,0
067513,4,0
067664,8,0
067671,7,0
067679,6,0
068089,5,1
068233,5,0
068337,5,1
068481,5,0
068493,6,1
068593,5,1
068905,5,0
069073,4,1
069193,4,0
069305,4,1
069441,4,0
069460,6,0
069517,7,1
069553,4,1
069793,4,0
070033,4,1
070273,5,1
070297,4,0
070412,7,0
070501,8,1
070505,4,1
070537,5,0
070737,3,1
070801,4,0
071020,2,1
071057,3,0
071265,2,0
071273,4,1
071508,8,0
071529,3,1
071553,4,0
071993,3,0
072524,6,1
072573,1,1
072988,1,0
073028,3,1
073245,2,1
073324,3,0
073508,1,1
073540,2,0
073741,2,1
073788,1,0
073860,6,0
074052,2,0
074533,5,1
074589,4,1
074677,3,1
074717,5,0
074756,8,1
074764,7,1
074772,6,1
074797,4,0
074805,1,1
074829,3,0
074917,2,1
074957,3,1
074989,1,0
075021,2,0
075053,4,1
075117,3,0
075125,1,1
075173,4,0
075213,2,1
075253,3,1
075293,1,0
075325,2,0
075373,4,1
075437,3,0
075623,5,1
075661,4,0
076012,8,0
076020,7,0
076028,6,0
076221,5,0
076325,5,1
076389,4,1
076436,8,1
076444,7,1
076452,6,1
076477,5,0
076501,3,1
076573,1,1
076613,3,0
076621,4,0
076725,2,1
076733,3,1
076765,1,0
076789,2,0
076829,4,1
076877,3,0
076917,1,1
076957,4,0
077037,3,1
077112,1,0
077125,4,1
077189,3,0
077924,8,0
077932,7,0
077940,6,0
077973,4,0
078165,5,1
078253,4,1
078324,8,1
078332,7,1
078340,6,1
078349,3,1
078357,5,0
078421,4,0
078437,2,1
078461,2,0
078469,1,1
078477,3,0
078501,4,1
078541,4,0
078589,2,1
078605,3,1
078653,2,0
078661,1,0
078717,4,1
078741,3,0
078765,1,1
078829,2,1
078837,4,0
078901,3,1
078941,2,0
078949,1,0
080789,3,0
080812,8,0
080820,7,0
080828,6,0
081572,6,1
081611,1,1
081851,2,1
081923,1,0
082139,3,1
082227,2,0
082395,4,1
082483,3,0
082675,5,1
082723,4,0
082916,6,0
083076,7,1
083115,5,0
