TIME(MS),COMMAND,VALUE
0000000,1,0
0000000,2,0
0000000,3,0
0000000,4,0
0000000,5,0
0000000,6,0
0000000,7,0
0000000,8,0
0000600,8,1
0000700,8,0
0000800,8,1
0000900,8,0
0001200,8,1
0001300,8,0
0001400,8,1
0001500,8,0
0001600,8,1
0001700,8,0
0002000,8,1
0002100,8,0
0002200,7,1
0002300,7,0
0002400,7,1
0002500,7,0
0002800,7,1
0002900,7,0
0003000,7,1
0003100,7,0
0003200,7,1
0003300,7,0
0003600,7,1
0003700,7,0
0003800,6,1
0003900,6,0
0004000,6,1
0004100,6,0
0004400,6,1
0004500,6,0
0004600,6,1
0004700,6,0
0004800,6,1
0004900,6,0
0005200,6,1
0005300,6,0
0005400,8,1
0005500,8,0
0007100,8,1
0007200,8,0
0007300,8,1
0007400,8,0
0007700,8,1
0007800,8,0
0007900,8,1
0008000,8,0
0008100,8,1
0008200,8,0
0008500,8,1
0008600,8,0
0008700,7,1
0008800,7,0
0008900,7,1
0009000,7,0
0009300,7,1
0009400,7,0
0009500,7,1
0009600,7,0
0009700,7,1
0009800,7,0
0010100,7,1
0010200,7,0
0010300,6,1
0010400,6,0
0010500,6,1
0010600,6,0
0010900,6,1
0011000,6,0
0011100,6,1
0011200,6,0
0011300,6,1
0011400,6,0
0011700,6,1
0011800,6,0
0011900,8,1
0012000,8,0
0013600,8,1
0013600,1,1
0013600,3,0
0013680,2,1
0013680,4,0
0013760,3,1
0013760,5,0
0013840,4,1
0013840,1,0
0013920,5,1
0013920,2,0
0014000,1,1
0014000,3,0
0014080,2,1
0014080,4,0
0014160,3,1
0014160,5,0
0014240,4,1
0014240,1,0
0014320,5,1
0014320,2,0
0014400,1,1
0014400,3,0
0014480,2,1
0014480,4,0
0014560,3,1
0014560,5,0
0014640,4,1
0014640,1,0
0014720,5,1
0014720,2,0
0014800,1,1
0014800,3,0
0014880,2,1
0014880,4,0
0014960,3,1
0014960,5,0
0015040,4,1
0015040,1,0
0015120,5,1
0015120,2,0
0015200,8,0
0015200,7,1
0015200,1,1
0015200,3,0
0015280,2,1
0015280,4,0
0015360,3,1
0015360,5,0
0015440,4,1
0015440,1,0
0015520,5,1
0015520,2,0
0015600,1,1
0015600,3,0
0015680,2,1
0015680,4,0
0015760,3,1
0015760,5,0
0015840,4,1
0015840,1,0
0015920,5,1
0015920,2,0
0016000,1,1
0016000,3,0
0016080,2,1
0016080,4,0
0016160,3,1
0016160,5,0
0016240,4,1
0016240,1,0
0016320,5,1
0016320,2,0
0016400,1,1
0016400,3,0
0016480,2,1
0016480,4,0
0016560,3,1
0016560,5,0
0016640,4,1
0016640,1,0
0016720,5,1
0016720,2,0
0016800,7,0
0016800,6,1
0016800,1,1
0016800,3,0
0016880,2,1
0016880,4,0
0016960,3,1
0016960,5,0
0017040,4,1
0017040,1,0
0017120,5,1
0017120,2,0
0017200,1,1
0017200,3,0
0017280,2,1
0017280,4,0
0017360,3,1
0017360,5,0
